tis_plaza_id,plaza_name,operator_from_tis,project_type,latitude,longitude,car_single,lcv_single,bus_single,truck_3axle_single,hcm_eme_single,oversized_7plus_single
4,Thakurtola (End of Durg Bypass),M/s Ashoka Highways Durg Ltd,BOT (Toll),21.117914,81.122298,95,165,335,535,535,535
6,Hirebagewadi,M/s Ashoka Belgaum Dharwad Tollway Ltd,BOT (Toll),15.76311,74.64785,110,175,365,575,575,700
7,Durg Bypass (Dhamdanaka),Ms Durg Shivnath Expressways Pvt Ltd.,BOT (Toll),21.214518,81.287962,70,140,210,,415,
8,Hattargi,Ms Sahakar Global Ltd.,Public Funded,16.1433,74.51696,30,50,110,120,170,210
9,Kognoli,Ms Ranchor Infra Developers Pvt. Ltd.,Public Funded,16.5422,74.31825,85,135,280,305,440,535
10,Tundla,M/s AE Tollways Pvt Ltd,BOT (Toll),27.218247,78.272821,100,160,335,370,530,645
11,Brahamarakotlu,Sh. Suresh Chandra Agarwal,Public Funded,12.875095,75.003849,30,50,100,110,155,190
12,Cable Stayed Naini Bridge,Bholanath Rajpati Shukla,Public Funded,25.41629,81.861017,25,40,90,95,135,165
13,Bassi,Ashirwad Smart Infralink Pvt. Ltd.,OMT,25.033921,74.817676,85,140,295,325,465,565
14,Aroli,Ashirwad Smart Infralink Pvt. Ltd.,OMT,25.09118,75.199063,75,120,255,275,395,480
15,Dhaneshwar,Ashirwad Smart Infralink Pvt. Ltd.,OMT,25.072621,75.598467,75,120,245,270,385,470
16,Fatehpur,Ms Kalyan Toll Infrastructure Limited,OMT,25.122,76.572806,105,175,360,395,570,690
17,Simliya,Ms Kalyan Toll Infrastructure Limited,OMT,25.170089,76.130552,80,130,275,300,435,530
18,Omallur,M/s M.V.R. Infrstructure And Tollways Pvt Ltd,BOT (Toll),11.72034,78.07338,85,145,290,470,470,470
19,Nathakkarai,M/s SU Toll Road Private Limited,BOT (Toll),11.592809,78.780812,50,90,185,295,295,295
20,Veeracholapuram (West),M/s SU Toll Road Private Limited,BOT (Toll),11.736464,79.010409,50,90,185,295,295,295
21,Palayam (Dharmapuri),M/s L&amp;T Krishnagiri Thopur Toll Road Limited,BOT (Toll),12.00643,78.08042,105,185,365,590,590,590
22,Rasampalayan,M/s NK Toll Road Ltd,BOT (Toll),11.193895,78.103219,50,90,175,285,285,285
23,Nemili (Sriperumbudur),Ms Sahakar Global Ltd.,Public Funded,12.982155,79.968944,50,85,175,190,270,330
